model	seed	epoch	acc	pre	rec	f1
test	3407	2	0.9409595678086008	0.4927344782034346	0.3466542750929368	0.4069830878341516
bert	3407	1	0.9422701859316084	0.6473684210526316	0.297820823244552	0.4079601990049751
bert	3407	2	0.9558574957742816	0.7893738140417458	0.5036319612590799	0.614929785661493
bert	3407	3	0.962228578858406	0.7558823529411764	0.6222760290556901	0.6826029216467464
bert	3407	4	0.9623586009621636	0.7802197802197802	0.6016949152542372	0.679425837320574
bert	3407	5	0.9624236120140424	0.7536023054755043	0.6331719128329297	0.6881578947368422
bert	3407	6	0.9620985567546484	0.7589285714285714	0.6174334140435835	0.6809078771695594
bert	3407	7	0.9620335457027694	0.7378917378917379	0.6271186440677966	0.6780104712041886
bert	3407	8	0.9620985567546484	0.748546511627907	0.6234866828087167	0.6803170409511228
bert	3407	9	0.961513457287739	0.755656108597285	0.6065375302663438	0.6729348556077904
bert	3407	10	0.9615784683396176	0.7552552552552553	0.6089588377723971	0.6742627345844505
bert	42	1	0.9515017552984008	0.6326860841423948	0.473365617433414	0.5415512465373961
bert	42	2	0.9546872968404628	0.7665369649805448	0.4769975786924939	0.5880597014925374
bert	42	3	0.9601482251982836	0.7480916030534351	0.5932203389830508	0.661715057393653
bert	42	4	0.9590430373163438	0.726998491704374	0.5835351089588378	0.6474143720617864
bert	42	5	0.9613184241321024	0.7481371087928465	0.6077481840193705	0.6706746826987308
bert	42	6	0.962228578858406	0.7464183381088825	0.6307506053268765	0.683727034120735
bert	42	7	0.9617084904433754	0.7555555555555555	0.6174334140435835	0.6795469686875416
bert	42	8	0.962228578858406	0.7612809315866085	0.6331719128329297	0.6913417052214145
bert	42	9	0.9604732804576778	0.7534039334341907	0.6029055690072639	0.6698049764626764
bert	42	10	0.96144844623586	0.7626865671641792	0.6186440677966102	0.6831550802139037
bert	522	1	0.94604082694058	0.6123260437375746	0.3728813559322034	0.4635063957863055
bert	522	2	0.9603432583539202	0.7446153846153846	0.585956416464891	0.6558265582655826
bert	522	3	0.9608633467689508	0.7668810289389068	0.5774818401937046	0.6588397790055248
bert	522	4	0.9631387335847094	0.7553956834532374	0.635593220338983	0.6903353057199212
bert	522	5	0.9619685346508906	0.7583586626139818	0.6041162227602905	0.6725067385444743
bert	522	6	0.9624886230659212	0.7478632478632479	0.635593220338983	0.6871727748691099
bert	522	7	0.9617735014952542	0.7409551374819102	0.6198547215496368	0.6750164798945287
bert	522	8	0.9626836562215576	0.739568345323741	0.6222760290556901	0.675871137409599
bert	522	9	0.9626186451696788	0.7456896551724138	0.6283292978208233	0.6819973718791065
bert	522	10	0.961838512547133	0.7477876106194691	0.6138014527845036	0.6742021276595744
bert	227	1	0.9410349759459108	0.6267029972752044	0.2784503631961259	0.38558256496228
bert	227	2	0.9583929267975556	0.7397881996974282	0.5920096852300242	0.6577000672494956
bert	227	3	0.9598881809907684	0.7552334943639292	0.5677966101694916	0.6482377332411887
bert	227	4	0.9607333246651932	0.7044534412955465	0.6319612590799032	0.666241225271219
bert	227	5	0.9603432583539202	0.7366863905325444	0.6029055690072639	0.6631158455392809
bert	227	6	0.9598881809907684	0.7360482654600302	0.5907990314769975	0.6554734721289456
bert	227	7	0.958913015212586	0.749211356466877	0.5750605326876513	0.6506849315068494
bert	227	8	0.9587829931088284	0.7429467084639498	0.5738498789346247	0.6475409836065574
bert	227	9	0.959303081523859	0.7359635811836115	0.5871670702179177	0.6531986531986532
bert	227	10	0.9592380704719804	0.7358778625954199	0.5835351089588378	0.650911546252532
bert	2	1	0.943505395917306	0.5869565217391305	0.3268765133171913	0.4199066874027994
bert	2	2	0.9581978936419192	0.7637271214642263	0.5556900726392252	0.6433076384022425
bert	2	3	0.9600832141464049	0.7121418826739427	0.6319612590799032	0.6696600384862091
bert	2	4	0.9591730594201014	0.7503974562798092	0.5714285714285714	0.6487972508591066
bert	2	5	0.9609933688727084	0.7510791366906475	0.6319612590799032	0.6863905325443787
bert	2	6	0.9604732804576778	0.7507462686567165	0.6089588377723971	0.6724598930481285
bert	2	7	0.9598881809907684	0.7557959814528593	0.5920096852300242	0.6639511201629328
